Date,Open,High,Low,Close,Adj Close,Volume
2016-11-01,32600.000000,33040.000000,32240.000000,33040.000000,28361.226563,10347400
2016-11-02,32800.000000,33040.000000,32620.000000,32860.000000,28206.716797,10099250
2016-11-03,32600.000000,32800.000000,32120.000000,32320.000000,27743.183594,10341850
2016-11-04,32100.000000,32680.000000,32100.000000,32540.000000,27932.031250,7103850
2016-11-07,32940.000000,33000.000000,32680.000000,32800.000000,28155.216797,7661900
2016-11-08,32980.000000,32980.000000,32700.000000,32880.000000,28223.882813,5417450
2016-11-09,32920.000000,33140.000000,31820.000000,31920.000000,27399.830078,15683600
2016-11-10,32600.000000,33000.000000,32360.000000,32980.000000,28309.722656,11795350
2016-11-11,31700.000000,32360.000000,31700.000000,31960.000000,27434.169922,12836800
2016-11-14,31900.000000,31920.000000,31040.000000,31060.000000,26661.611328,15133300
2016-11-15,31060.000000,31620.000000,30780.000000,30780.000000,26421.257813,13665700
2016-11-16,30800.000000,31280.000000,30800.000000,31160.000000,26747.453125,13308200
2016-11-17,31100.000000,31520.000000,30900.000000,31360.000000,26919.126953,7870550
2016-11-18,31640.000000,31760.000000,31400.000000,31720.000000,27228.152344,9460750
2016-11-21,31300.000000,32120.000000,31300.000000,31860.000000,27348.330078,8180200
2016-11-22,32140.000000,32900.000000,32000.000000,32800.000000,28155.216797,9751100
2016-11-23,33220.000000,33220.000000,32520.000000,32980.000000,28309.722656,12668600
2016-11-24,32980.000000,33040.000000,32660.000000,33000.000000,28326.890625,7757150
2016-11-25,32820.000000,33040.000000,32660.000000,33000.000000,28326.890625,6276900
2016-11-28,33000.000000,33620.000000,32800.000000,33540.000000,28790.417969,13294050
2016-11-29,33800.000000,33960.000000,33380.000000,33540.000000,28790.417969,18081300
2016-11-30,33540.000000,34940.000000,33540.000000,34920.000000,29975.003906,28535200
2016-12-01,34800.000000,35060.000000,34660.000000,34980.000000,30026.503906,15535350
2016-12-02,34480.000000,34760.000000,34140.000000,34540.000000,29648.808594,15352950
2016-12-05,34340.000000,34680.000000,34220.000000,34360.000000,29494.302734,8484600
